CellID,ClusterID,ClusterName
1,-1,NA
2,0,eL2/3
3,3,eL5
4,-1,NA
5,2,eL2/3
6,6,eL6
7,2,eL6
8,1,eL5
9,3,eL2/3
10,-1,NA
11,1,PV
12,-1,NA
13,-1,NA
14,11,eL5
15,-1,NA
16,3,eL4
17,6,eL6
18,1,eL5
19,2,Endo
20,-1,NA
21,-1,NA
22,-1,NA
23,3,eL4
24,2,eL5
25,5,Endo
26,7,SST
27,-1,NA
28,0,eL6
29,-1,NA
30,1,Endo
31,3,Oligo
32,3,eL2/3
33,6,eL6
34,7,eL6
35,0,eL2/3
36,-1,NA
37,-1,NA
38,-1,NA
39,1,eL5
40,1,eL6
41,1,eL4
42,1,eL5
43,-1,NA
44,0,eL6
45,1,eL4
46,1,eL4
47,0,eL5
48,3,SST
49,5,eL5
50,5,eL2/3
51,4,eL6
52,-1,NA
53,3,eL6
54,1,eL5
55,-1,NA
56,3,SST
57,0,PV
58,1,eL4
59,2,Smc
60,-1,NA
61,2,NPY
62,2,SST
63,-1,NA
64,1,eL6
65,11,Endo
66,2,eL2/3
67,10,eL2/3
68,3,eL4
69,0,eL6
70,-1,NA
71,1,eL4
72,1,eL2/3
73,-1,NA
74,2,SST
75,2,eL6
76,0,eL5
77,-1,NA
78,-1,NA
79,1,Oligo
80,0,eL4
81,1,eL5
82,-1,NA
83,-1,NA
84,0,eL4
85,3,Oligo
86,8,eL6
87,0,eL2/3
88,3,NPY
89,0,eL6
90,1,eL6
91,-1,NA
92,-1,NA
93,6,eL6
94,2,eL2/3
95,2,PV
96,1,eL4
97,-1,NA
98,-1,NA
99,-1,NA
100,-1,NA
101,-1,NA
102,1,eL6
103,2,eL4
104,-1,NA
105,5,eL6
106,1,PV
107,6,eL4
108,3,eL5
109,3,Oligo
110,3,eL6
111,7,eL6
112,4,eL2/3
113,1,eL4
114,1,eL2/3
115,-1,NA
116,-1,NA
117,3,eL2/3
118,-1,NA
119,2,eL6
120,3,Smc
121,-1,NA
122,1,SST
123,6,eL4
124,4,eL4
125,-1,NA
126,1,eL4
127,0,Oligo
128,6,eL6
129,-1,NA
130,-1,NA
131,0,eL2/3
132,2,NPY
133,7,Oligo
134,-1,NA
135,0,Endo
136,1,VIP
137,9,eL6
138,1,eL4
139,7,eL6
140,2,Endo
141,3,eL2/3
142,-1,NA
143,3,eL5
144,7,eL5
145,-1,NA
146,-1,NA
147,3,Astro
148,-1,NA
149,1,eL2/3
150,-1,NA
151,5,eL4
152,1,eL2/3
153,3,eL4
154,5,eL5
155,6,eL6
156,0,eL6
157,0,eL4
158,1,eL2/3
159,9,eL2/3
160,3,Oligo
161,7,eL2/3
162,3,Smc
163,2,eL6
164,5,eL5
165,1,eL5
166,11,eL4
167,4,PV
168,2,eL6
169,3,eL6
170,4,eL4
171,7,eL5
172,7,Astro
173,5,eL5
174,7,eL6
175,7,eL2/3
176,1,eL6
177,-1,NA
178,1,eL5
179,3,eL5
180,-1,NA
181,0,SST
182,-1,NA
183,-1,NA
184,0,eL5
185,0,eL5
186,2,eL4
187,1,Smc
188,-1,NA
189,1,eL6
190,3,eL2/3
191,4,eL6
192,2,Endo
193,3,Smc
194,-1,NA
195,6,SST
196,-1,NA
197,0,eL4
198,1,eL6
199,3,Smc
200,1,SST
201,-1,NA
202,-1,NA
203,-1,NA
204,2,Endo
205,1,eL2/3
206,0,eL5
207,2,eL6
208,-1,NA
209,6,eL2/3
210,3,Astro
211,4,eL2/3
212,-1,NA
213,3,eL6
214,5,Smc
215,-1,NA
216,1,eL2/3
217,1,eL5
218,7,VIP
219,0,eL2/3
220,1,eL5
221,0,eL5
222,-1,NA
223,3,eL2/3
224,1,eL6
225,0,Oligo
226,0,eL2/3
227,2,eL6
228,0,eL5
229,2,eL2/3
230,3,Smc
231,7,eL5
232,2,eL4
233,2,Oligo
234,2,eL4
235,4,Astro
236,8,eL2/3
237,1,eL5
238,5,Astro
239,5,eL6
240,1,NPY
241,1,NPY
242,-1,NA
243,0,eL5
244,7,eL5
245,7,eL4
246,-1,NA
247,3,Astro
248,3,eL6
249,2,eL5
250,-1,NA
251,0,Oligo
252,0,eL2/3
253,2,eL6
254,0,eL4
255,9,eL6
256,-1,NA
257,0,eL6
258,1,eL2/3
259,0,eL4
260,3,eL6
261,0,eL2/3
262,7,Endo
263,2,eL2/3
264,4,eL6
265,-1,NA
266,8,eL6
267,0,eL5
268,0,Oligo
269,7,eL5
270,1,Smc
271,3,PV
272,2,PV
273,-1,NA
274,-1,NA
275,2,eL6
276,1,eL4
277,7,eL4
278,3,PV
279,7,eL4
280,2,eL4
281,3,eL2/3
282,-1,NA
283,5,eL5
284,3,eL2/3
285,0,eL4
286,-1,NA
287,7,Endo
288,3,eL4
289,-1,NA
290,-1,NA
291,0,eL5
292,0,eL6
293,10,eL5
294,1,eL4
295,3,eL4
296,5,eL5
297,-1,NA
298,3,Endo
299,-1,NA
300,1,Oligo
301,-1,NA
302,1,eL4
303,0,eL4
304,2,eL2/3
305,-1,NA
306,0,eL2/3
307,1,PV
308,-1,NA
309,2,VIP
310,0,eL4
311,6,eL4
312,-1,NA
313,2,eL4
314,3,Endo
315,1,eL4
316,1,Astro
317,11,Smc
318,-1,NA
319,-1,NA
320,3,VIP
321,9,SST
322,0,VIP
323,3,eL4
324,4,eL4
325,0,eL4
326,0,eL5
327,0,eL6
328,4,Smc
329,0,SST
330,2,Astro
331,3,PV
332,1,eL4
333,3,eL2/3
334,2,eL6
335,0,eL6
336,-1,NA
337,9,SST
338,3,eL4
339,1,Smc
340,2,SST
341,3,eL6
342,0,eL2/3
343,0,eL4
344,1,eL4
345,3,eL5
346,5,eL4
347,3,eL2/3
348,3,eL4
349,1,eL6
350,1,PV
351,6,eL6
352,-1,NA
353,-1,NA
354,7,eL2/3
355,2,Smc
356,9,Smc
357,3,eL6
358,9,eL4
359,1,eL5
360,-1,NA
361,6,eL6
362,-1,NA
363,1,eL6
364,3,eL4
365,1,SST
366,3,SST
367,3,eL4
368,3,Endo
369,-1,NA
370,1,Astro
371,7,eL4
372,-1,NA
373,-1,NA
374,3,eL5
375,0,eL4
376,6,eL4
377,3,eL5
378,6,Smc
379,2,SST
380,4,Endo
381,0,eL4
382,-1,NA
383,2,eL4
384,3,eL4
385,6,eL4
386,-1,NA
387,-1,NA
388,1,Smc
389,1,eL6
390,0,eL6
391,6,PV
392,0,Smc
393,-1,NA
394,-1,NA
395,2,eL4
396,4,eL6
397,11,Oligo
398,-1,NA
399,0,PV
400,-1,NA
401,-1,NA
402,2,PV
403,5,eL4
404,10,eL4
405,-1,NA
406,5,eL6
407,1,Endo
408,9,eL2/3
409,-1,NA
410,-1,NA
411,0,VIP
412,8,eL6
413,6,Oligo
414,-1,NA
415,1,Smc
416,7,eL4
417,3,eL6
418,2,eL2/3
419,1,eL2/3
420,2,eL2/3
421,3,Astro
422,-1,NA
423,2,eL4
424,-1,NA
425,0,eL5
426,6,eL6
427,1,Astro
428,-1,NA
429,10,eL5
430,0,eL5
431,1,eL4
432,4,eL2/3
433,1,PV
434,6,Smc
435,3,eL6
436,0,eL6
437,1,eL6
438,9,eL5
439,3,eL4
440,-1,NA
441,0,PV
442,1,eL2/3
443,1,eL4
444,3,eL6
445,6,eL6
446,7,eL6
447,6,eL5
448,3,eL2/3
449,-1,NA
450,0,SST
451,0,eL4
452,2,eL4
453,-1,NA
454,6,Oligo
455,9,eL5
456,2,eL6
457,1,eL4
458,3,eL5
459,-1,NA
460,0,eL4
461,0,eL2/3
462,2,eL4
463,0,Smc
464,2,eL5
465,-1,NA
466,0,eL6
467,5,eL2/3
468,2,eL4
469,4,eL2/3
470,-1,NA
471,0,eL2/3
472,5,eL4
473,6,Smc
474,2,eL6
475,0,eL5
476,-1,NA
477,6,eL2/3
478,1,eL2/3
479,7,eL5
480,10,eL4
481,0,eL5
482,2,eL4
483,3,eL4
484,5,eL5
485,1,eL4
486,3,eL2/3
487,9,eL5
488,-1,NA
489,-1,NA
490,2,Endo
491,-1,NA
492,3,eL6
493,0,eL2/3
494,0,NPY
495,1,eL4
496,0,eL2/3
497,3,eL2/3
498,6,eL2/3
499,6,eL4
500,-1,NA
501,3,eL2/3
502,3,Smc
503,3,VIP
504,0,eL6
505,3,PV
506,11,eL2/3
507,0,Smc
508,-1,NA
509,-1,NA
510,2,eL4
511,3,eL2/3
512,-1,NA
513,-1,NA
514,11,eL5
515,11,Smc
516,7,Astro
517,3,Astro
518,3,eL4
519,0,eL4
520,-1,NA
521,7,PV
522,3,eL4
523,-1,NA
524,5,eL5
525,3,eL2/3
526,2,eL6
527,3,Endo
528,3,eL4
529,11,eL6
530,6,Astro
531,9,eL4
532,-1,NA
533,4,eL5
534,1,Smc
535,10,eL6
536,1,eL5
537,-1,NA
538,1,Endo
539,0,Astro
540,-1,NA
541,-1,NA
542,6,eL4
543,7,eL6
544,2,eL4
545,3,eL2/3
546,2,Endo
547,-1,NA
548,2,eL4
549,0,eL2/3
550,2,eL4
551,-1,NA
552,1,eL4
553,3,eL4
554,0,eL6
555,-1,NA
556,-1,NA
557,11,eL6
558,1,eL6
559,1,eL6
560,1,eL5
561,-1,NA
562,2,Smc
563,0,eL6
564,1,eL6
565,-1,NA
566,2,eL4
567,4,eL5
568,9,eL2/3
569,3,eL4
570,2,eL4
571,-1,NA
572,11,NPY
573,8,eL6
574,7,eL4
575,4,eL6
576,1,eL5
577,-1,NA
578,-1,NA
579,-1,NA
580,0,eL5
581,1,Endo
582,7,eL5
583,0,eL4
584,-1,NA
585,-1,NA
586,-1,NA
587,0,Endo
588,-1,NA
589,11,eL6
590,3,eL4
591,-1,NA
592,7,eL4
593,1,eL6
594,2,eL2/3
595,1,eL5
596,4,eL4
597,-1,NA
598,3,eL2/3
599,3,eL4
600,3,eL5
601,0,eL4
602,-1,NA
603,4,eL4
604,0,Astro
605,3,eL6
606,-1,NA
607,0,Smc
608,2,eL5
609,-1,NA
610,3,eL5
611,0,eL2/3
612,0,eL5
613,0,eL2/3
614,1,eL6
615,2,eL5
616,-1,NA
617,2,eL5
618,6,eL4
619,1,eL6
620,5,eL2/3
621,3,eL4
622,0,Astro
623,0,eL5
624,-1,NA
625,3,eL2/3
626,3,eL5
627,-1,NA
628,1,eL5
629,7,eL5
630,2,eL4
631,-1,NA
632,1,eL6
633,9,Endo
634,11,eL2/3
635,3,SST
636,3,eL2/3
637,4,Smc
638,-1,NA
639,0,Endo
640,3,eL4
641,3,eL4
642,5,Astro
643,1,eL2/3
644,1,eL5
645,1,eL2/3
646,1,eL6
647,3,eL4
648,-1,NA
649,3,eL4
650,0,eL4
651,-1,NA
652,0,Smc
653,0,Oligo
654,-1,NA
655,0,eL2/3
656,4,eL4
657,-1,NA
658,6,eL2/3
659,8,eL2/3
660,7,eL4
661,7,eL4
662,0,eL6
663,7,Smc
664,5,SST
665,-1,NA
666,5,Astro
667,5,VIP
668,11,eL4
669,7,Astro
670,5,eL4
671,4,eL2/3
672,-1,NA
673,1,NPY
674,3,Smc
675,0,eL5
676,1,eL4
677,10,eL6
678,-1,NA
679,0,eL4
680,-1,NA
681,2,PV
682,2,eL5
683,6,eL4
684,1,Astro
685,3,Astro
686,-1,NA
687,9,Smc
688,-1,NA
689,-1,NA
690,1,eL6
691,-1,NA
692,3,eL5
693,2,eL5
694,3,eL4
695,5,Smc
696,10,eL2/3
697,5,eL5
698,-1,NA
699,3,eL4
700,5,Smc
701,-1,NA
702,-1,NA
703,9,eL2/3
704,7,eL6
705,3,eL4
706,-1,NA
707,4,eL6
708,0,eL4
709,7,Astro
710,3,eL6
711,11,eL6
712,4,eL4
713,-1,NA
714,7,eL4
715,-1,NA
716,1,eL2/3
717,4,eL2/3
718,0,Smc
719,3,eL2/3
720,1,eL5
721,3,eL4
722,-1,NA
723,1,eL6
724,-1,NA
725,2,eL4
726,5,eL5
727,-1,NA
728,-1,NA
729,7,eL2/3
730,1,eL2/3
731,3,Smc
732,1,eL5
733,10,eL6
734,0,Oligo
735,6,eL4
736,-1,NA
737,3,eL4
738,3,PV
739,0,Astro
740,-1,NA
741,3,eL2/3
742,-1,NA
743,-1,NA
744,-1,NA
745,0,eL6
746,2,eL2/3
747,4,Astro
748,0,eL5
749,2,eL4
750,3,eL2/3
751,5,eL2/3
752,4,eL4
753,1,eL2/3
754,10,Endo
755,0,eL5
756,-1,NA
757,-1,NA
758,-1,NA
759,0,eL5
760,0,Oligo
761,2,Endo
762,2,Oligo
763,-1,NA
764,0,eL4
765,1,PV
766,3,Astro
767,-1,NA
768,-1,NA
769,0,Endo
770,5,eL4
771,4,eL6
772,5,eL4
773,1,eL6
774,0,Endo
775,3,eL4
776,-1,NA
777,3,Endo
778,9,Oligo
779,-1,NA
780,3,eL2/3
781,-1,NA
782,6,eL6
783,7,eL2/3
784,-1,NA
785,6,eL4
786,7,eL4
787,3,eL4
788,3,SST
789,0,eL4
790,0,eL5
791,-1,NA
792,7,eL4
793,3,Oligo
794,-1,NA
795,6,Endo
796,0,Smc
797,0,NPY
798,-1,NA
799,2,eL4
800,2,eL2/3
801,7,eL4
802,7,Oligo
803,4,eL4
804,0,eL6
805,6,eL4
806,5,eL5
807,3,eL4
808,6,eL6
809,-1,NA
810,9,eL4
811,1,eL6
812,2,eL6
813,5,eL6
814,1,eL5
815,5,eL6
816,3,eL4
817,3,eL2/3
818,3,eL2/3
819,0,eL6
820,7,eL4
821,-1,NA
822,0,eL4
823,11,Smc
824,-1,NA
825,-1,NA
826,0,eL4
827,-1,NA
828,0,Astro
829,1,eL4
830,9,Oligo
831,-1,NA
832,3,eL5
833,3,Oligo
834,-1,NA
835,1,eL2/3
836,-1,NA
837,3,eL6
838,-1,NA
839,-1,NA
840,0,eL6
841,0,eL4
842,1,eL5
843,5,eL6
844,-1,NA
845,3,eL2/3
846,4,SST
847,0,eL4
848,-1,NA
849,1,eL6
850,-1,NA
851,1,eL2/3
852,-1,NA
853,1,eL5
854,9,eL5
855,5,eL2/3
856,3,eL4
857,1,Astro
858,-1,NA
859,-1,NA
860,-1,NA
861,9,eL4
862,0,Smc
863,-1,NA
864,-1,NA
865,5,eL4
866,11,eL5
867,0,Endo
868,3,eL4
869,-1,NA
870,4,eL5
871,10,eL2/3
872,2,eL6
873,-1,NA
874,3,eL4
875,0,eL2/3
876,-1,NA
877,-1,NA
878,0,eL4
879,3,Smc
880,2,eL4
881,-1,NA
882,0,Oligo
883,-1,NA
884,2,eL2/3
885,-1,NA
886,3,eL4
887,7,eL2/3
888,3,eL6
889,-1,NA
890,-1,NA
891,-1,NA
892,5,Astro
893,-1,NA
894,0,eL6
895,-1,NA
896,7,eL6
897,-1,NA
898,-1,NA
899,1,Smc
900,1,eL5
901,9,eL4
902,0,SST
903,-1,NA
904,4,eL2/3
905,-1,NA
906,7,VIP
907,7,eL2/3
908,3,eL2/3
909,-1,NA
910,-1,NA
911,3,Astro
912,-1,NA
913,7,eL6
914,-1,NA
915,-1,NA
916,1,eL4
917,3,eL2/3
918,6,Endo
919,2,eL5
